1,21573,2
1,21570,2
1,21570,2
1,21573,2
1,21570,2
1,21569,2
1,21569,2
1,21569,2
1,21569,2
1,21569,2
1,23296,2
1,22272,2
1,23040,2
1,23552,2
1,22784,2
2,25088,2
2,25088,4
1,23808,2
1,23808,4
1,21569,7
1,21647,2
1,21647,4
1,21647,7
1,23808,7
1,1,2
1,1,4
1,1,7
1,1,2
2,22272,2
2,23296,2
2341,22784,2
2341,23040,2
2341,21572,2
1,23296,2
2,23808,2
1,21576,2
2,21576,4
2,25088,7
2,21576,7
1,21576,2
1,21569,2
1,21628,2
1,21628,4
1,21628,7
1,21628,2
1,21628,4
1,22784,2
1,21628,2
1,21628,4
1,21628,2
1,21628,4
1,25088,2
1,21628,2
1,21628,4
1,21628,2
1,21628,2
1,23296,2
1,21628,2
1,21628,2
1,21628,2
1,21628,4
1,22784,2
1,21569,2
1,21570,2
1,21570,4
1,21571,2
1,21571,4
1,21571,4
1,21628,7
1,21628,7
1,21628,7
1,21628,7
1,21628,7
1,21570,7
1,21571,7
1,21571,7
1,21628,2
1,23296,2
1,23296,4
1,22784,2
1,22784,4
1,23296,7
1,22784,7
1,22457,2
1,21628,2
1,21628,4
1,21628,7
1,21655,2
1,21628,2
1,21628,4
1,21628,7
1,21628,2
1,21628,4
1,21628,7
